feature,importance_ranker
mom_12_1,5
idio_vol_252d,4
roughness_252d,4
debt_to_assets,4
sales_to_price,4
ret_1d,3
vol_of_vol_126d,3
close_to_ma60,3
max_dd_252d,3
ret_5d,2
idio_roughness_126d,2
vol_of_vol_60d,2
debt_to_equity,2
gross_profitability,2
turnover_20d,2
skew_60d,2
roa,2
close_to_ma20,2
downside_vol_60d,2
rv_60d,1
ret_252d,1
ret_20d,1
price_position_252d,1
roughness_x_momentum,1
rv_20d,1
debt_to_assets_missing,1
amihud_20d,1
roughness_x_illiquidity,1
max_dd_252d_missing,0
skew_60d_missing,0
max_dd_60d_missing,0
amihud_20d_missing,0
dollar_vol_20d_missing,0
idio_vol_252d_missing,0
turnover_20d_missing,0
book_to_market_missing,0
earnings_yield_missing,0
sales_to_price_missing,0
beta_252d_missing,0
roughness_126d_missing,0
roughness_x_momentum_missing,0
idio_roughness_126d_missing,0
roughness_252d_missing,0
roe_missing,0
roa_missing,0
gross_profitability_missing,0
vol_of_vol_126d_missing,0
asset_growth_missing,0
revenue_growth_missing,0
rv_120d_missing,0
debt_to_equity_missing,0
hurst_126d_missing,0
vol_of_vol_60d_missing,0
hurst_252d_missing,0
downside_vol_60d_missing,0
ret_1d_missing,0
rv_60d_missing,0
rv_20d_missing,0
ret_60d,0
ret_120d,0
ma20_to_ma60,0
rv_120d,0
beta_252d,0
max_dd_60d,0
dollar_vol_20d,0
book_to_market,0
earnings_yield,0
roe,0
asset_growth,0
revenue_growth,0
hurst_126d,0
hurst_252d,0
roughness_126d,0
ret_5d_missing,0
ret_20d_missing,0
ret_60d_missing,0
ret_120d_missing,0
ret_252d_missing,0
mom_12_1_missing,0
close_to_ma20_missing,0
close_to_ma60_missing,0
ma20_to_ma60_missing,0
price_position_252d_missing,0
roughness_x_illiquidity_missing,0
